"No.","Time","Source","Destination","Protocol","Length","Info","TimeDiff","SPort","DPort"
"1","0.000000000","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.148? Tell 192.168.0.218","0.000000000","",""
"2","0.003881685","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.59? Tell 192.168.0.218","0.003881685","",""
"3","0.022356941","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.018475256","54915","54915"
"4","0.025986410","192.168.0.68","192.168.0.218","TCP","60","23721  >  80 [SYN] Seq=0 Win=8192 Len=0","0.003629469","23721","80"
"5","0.026001655","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.68? Tell 192.168.0.218","0.000015245","",""
"6","0.061132831","192.168.0.89","192.168.0.218","UDP","60","37068  >  80 Len=0","0.035131176","37068","80"
"7","0.061151265","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.89? Tell 192.168.0.218","0.000018434","",""
"8","1.023573556","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.148? Tell 192.168.0.218","0.962422291","",""
"9","1.023598740","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.000025184","54915","54915"
"10","1.055937763","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.68? Tell 192.168.0.218","0.032339023","",""
"11","1.088144819","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.89? Tell 192.168.0.218","0.032207056","",""
"12","1.092761187","192.168.0.120","192.168.0.218","TCP","60","48903  >  80 [SYN] Seq=0 Win=8192 Len=0","0.004616368","48903","80"
"13","1.092775623","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.120? Tell 192.168.0.218","0.000014436","",""
"14","1.124921349","192.168.0.2","192.168.0.218","UDP","60","40305  >  80 Len=0","0.032145726","40305","80"
"15","1.124941060","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.2? Tell 192.168.0.218","0.000019711","",""
"16","1.564907876","192.168.0.1","all-systems.mcast.net","IGMPv3","60","Membership Query, general","0.439966816","",""
"17","1.565224402","fe80::c6e9:aff:fe1d:1c0a","ff02::1","ICMPv6","90","Multicast Listener Query","0.000316526","",""
"18","1.612220530","192.168.0.218","igmp.mcast.net","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources","0.046996128","",""
"19","1.613595206","fe80::a00:27ff:fe73:4a8f","ff02::16","ICMPv6","90","Multicast Listener Report Message v2","0.001374676","",""
"20","1.639552826","fe80::8d3a:b1ad:eda3:445f","ff02::16","ICMPv6","110","Multicast Listener Report Message v2","0.025957620","",""
"21","1.697048013","192.168.0.121","igmp.mcast.net","IGMPv3","70","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources / Join group 224.0.1.60 for any sources","0.057495187","",""
"22","1.721606862","DESKTOP-GSL42P0.local","igmp.mcast.net","IGMPv3","70","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources / Join group 239.255.255.250 for any sources","0.024558849","",""
